name,team,region,age,championships,agent1,agent2,agent3
d3ffo,Gentle Mates,EMEA,,1,Raze,Jett,Neon
Redgar,Gentle Mates,EMEA,,0,Killjoy,Sova,Cypher
BONECOLD,Gentle Mates,EMEA,,1,Omen,Viper,Astra
Jamppi,Team Liquid,EMEA,,0,Jett,Raze,Neon
Keiko,Team Liquid,EMEA,,0,Sova,Fade,KAY/O
Mistic,Team Liquid,EMEA,,0,Omen,Viper,Astra
Kryptix,Team Liquid,EMEA,,0,Raze,Jett,Reyna
fit1nho,Giants,EMEA,,0,Jett,Raze,Neon
rhyme,Giants,EMEA,,0,Sova,KAY/O,Fade
paz,Giants,EMEA,,0,Omen,Viper,Astra
hitori,Giants,EMEA,,0,Killjoy,Cypher,Sage
nukkye,Giants,EMEA,,0,Raze,Jett,Reyna
Sheydos,KOI,EMEA,,0,Omen,Viper,Astra
kamo,KOI,EMEA,,0,Raze,Jett,Neon
starxo,KOI,EMEA,,0,Sova,KAY/O,Fade
zeek,KOI,EMEA,,1,Raze,Jett,Chamber
f0rsakeN,Paper Rex,Pacific,,0,Sova,Fade,KAY/O
Jinggg,Paper Rex,Pacific,,0,Raze,Neon,Jett
something,Paper Rex,Pacific,,0,Jett,Raze,Neon
d4v41,Paper Rex,Pacific,,0,Killjoy,Cypher,Chamber
mindfreak,Paper Rex,Pacific,,0,Omen,Viper,Astra
Benkai,Paper Rex,Pacific,,0,Sova,KAY/O,Fade
PatMen,Paper Rex,Pacific,,0,Raze,Jett,Neon
MaKo,DRX,Pacific,,0,Omen,Viper,Astra
Flashback,DRX,Pacific,,0,Killjoy,Cypher,Chamber
RB,DRX,Pacific,,0,Raze,Neon,Jett
BeYN,DRX,Pacific,,0,Sova,Fade,KAY/O
Foxy9,DRX,Pacific,,0,Raze,Jett,Reyna
Meteor,Gen.G,Pacific,,1,Omen,Viper,Astra
t3xture,Gen.G,Pacific,,1,Jett,Raze,Neon
Munchkin,Gen.G,Pacific,,1,Sova,Fade,KAY/O
Karon,Gen.G,Pacific,,1,Chamber,Killjoy,Cypher
yomani,Gen.G,Pacific,,0,Raze,Jett,Neon
BuZz,T1,Pacific,,1,Jett,Raze,Neon
stax,T1,Pacific,,0,Sova,Fade,KAY/O
carpe,T1,Pacific,,0,Jett,Raze,Chamber
iZu,T1,Pacific,,0,Raze,Neon,Jett
xccurate,T1,Pacific,,0,Killjoy,Cypher,Sage
Laz,ZETA DIVISION,Pacific,,0,Jett,Raze,Neon
Dep,ZETA DIVISION,Pacific,,0,Omen,Astra,Viper
barce,ZETA DIVISION,Pacific,,0,Sova,Fade,KAY/O
XQQ,ZETA DIVISION,Pacific,,0,Killjoy,Cypher,Sage
Ban,Nongshim RedForce,Pacific,,0,Jett,Raze,Neon
Sylvan,Nongshim RedForce,Pacific,,0,Omen,Astra,Viper
Lakia,Nongshim RedForce,Pacific,,0,Killjoy,Cypher,Sage
Ezra,Nongshim RedForce,Pacific,,0,Raze,Jett,Neon
Sylval,Nongshim RedForce,Pacific,,0,Sova,Fade,KAY/O
Lmemore,Rex Regum Qeon,Pacific,,0,Jett,Raze,Neon
Estrella,Rex Regum Qeon,Pacific,,0,Omen,Viper,Astra
fl1pzjder,Rex Regum Qeon,Pacific,,0,Sova,KAY/O,Fade
Lamonster,Rex Regum Qeon,Pacific,,0,Killjoy,Cypher,Sage
Nexi,Rex Regum Qeon,Pacific,,0,Raze,Jett,Chamber
Suppr,Global Esports,Pacific,,0,Jett,Raze,Neon
Bazzi,Global Esports,Pacific,,0,Omen,Viper,Astra
Lightningfast,Global Esports,Pacific,,0,Sova,Fade,KAY/O
WRONSKI,Global Esports,Pacific,,0,Killjoy,Cypher,Sage
Polvi,Global Esports,Pacific,,0,Raze,Jett,Neon
